date,PM2.5,PM10,station_name,latitude,longitude
2019-01-22,34.9,,US Embassy,51.128736,71.46939
2019-01-23,21.6,,US Embassy,51.128736,71.46939
2019-01-24,23.5,,US Embassy,51.128736,71.46939
2019-01-25,35.5,,US Embassy,51.128736,71.46939
2019-01-26,24.5,,US Embassy,51.128736,71.46939
2019-01-27,42.8,,US Embassy,51.128736,71.46939
2019-01-28,150.4,,US Embassy,51.128736,71.46939
2019-01-29,30.6,,US Embassy,51.128736,71.46939
2019-01-30,30.6,,US Embassy,51.128736,71.46939
2019-01-31,49.3,,US Embassy,51.128736,71.46939
2019-02-01,50.9,,US Embassy,51.128736,71.46939
2019-02-02,30.2,,US Embassy,51.128736,71.46939
2019-02-03,49.7,,US Embassy,51.128736,71.46939
2019-02-04,98.1,,US Embassy,51.128736,71.46939
2019-02-05,46.5,,US Embassy,51.128736,71.46939
2019-02-06,44.4,,US Embassy,51.128736,71.46939
2019-02-07,67.1,,US Embassy,51.128736,71.46939
2019-02-08,115.5,,US Embassy,51.128736,71.46939
2019-02-09,25.9,,US Embassy,51.128736,71.46939
2019-02-10,45.7,,US Embassy,51.128736,71.46939
2019-02-11,40.4,,US Embassy,51.128736,71.46939
2019-02-12,38.7,,US Embassy,51.128736,71.46939
2019-02-13,105.9,,US Embassy,51.128736,71.46939
2019-02-14,240.3,,US Embassy,51.128736,71.46939
2019-02-15,27.8,,US Embassy,51.128736,71.46939
2019-02-16,22.6,,US Embassy,51.128736,71.46939
2019-02-17,23.5,,US Embassy,51.128736,71.46939
2019-02-18,20.7,,US Embassy,51.128736,71.46939
2019-02-19,17.3,,US Embassy,51.128736,71.46939
2019-02-20,19.7,,US Embassy,51.128736,71.46939
2019-02-21,19.2,,US Embassy,51.128736,71.46939
2019-02-22,18.8,,US Embassy,51.128736,71.46939
2019-02-23,21.6,,US Embassy,51.128736,71.46939
2019-02-24,20.2,,US Embassy,51.128736,71.46939
2019-02-25,24.0,,US Embassy,51.128736,71.46939
2019-02-26,24.0,,US Embassy,51.128736,71.46939
2019-02-27,18.3,,US Embassy,51.128736,71.46939
2019-02-28,82.6,,US Embassy,51.128736,71.46939
2019-03-01,32.1,,US Embassy,51.128736,71.46939
2019-03-02,82.6,,US Embassy,51.128736,71.46939
2019-03-03,19.7,,US Embassy,51.128736,71.46939
2019-03-04,17.8,,US Embassy,51.128736,71.46939
2019-03-05,15.9,,US Embassy,51.128736,71.46939
2019-03-06,16.9,,US Embassy,51.128736,71.46939
2019-03-07,20.2,,US Embassy,51.128736,71.46939
2019-03-08,32.5,,US Embassy,51.128736,71.46939
2019-03-09,54.2,,US Embassy,51.128736,71.46939
2019-03-10,46.1,,US Embassy,51.128736,71.46939
2019-03-11,27.3,,US Embassy,51.128736,71.46939
2019-03-12,26.4,,US Embassy,51.128736,71.46939
2019-03-13,23.5,,US Embassy,51.128736,71.46939
2019-03-14,23.0,,US Embassy,51.128736,71.46939
2019-03-15,24.5,,US Embassy,51.128736,71.46939
2019-03-16,17.8,,US Embassy,51.128736,71.46939
2019-03-17,47.7,,US Embassy,51.128736,71.46939
2019-03-18,41.2,,US Embassy,51.128736,71.46939
2019-03-19,32.1,,US Embassy,51.128736,71.46939
2019-03-20,22.6,,US Embassy,51.128736,71.46939
2019-03-21,20.7,,US Embassy,51.128736,71.46939
2019-03-22,20.2,,US Embassy,51.128736,71.46939
2019-03-23,26.8,,US Embassy,51.128736,71.46939
2019-03-26,23.5,,US Embassy,51.128736,71.46939
2019-03-27,35.4,,US Embassy,51.128736,71.46939
2019-03-28,53.8,,US Embassy,51.128736,71.46939
2019-03-30,22.6,,US Embassy,51.128736,71.46939
2019-03-31,19.7,,US Embassy,51.128736,71.46939
2019-04-01,94.2,,US Embassy,51.128736,71.46939
2019-04-02,42.0,,US Embassy,51.128736,71.46939
2019-04-03,35.5,,US Embassy,51.128736,71.46939
2019-04-04,19.7,,US Embassy,51.128736,71.46939
2019-04-05,23.5,,US Embassy,51.128736,71.46939
2019-04-06,26.4,,US Embassy,51.128736,71.46939
2019-04-07,34.9,,US Embassy,51.128736,71.46939
2019-04-08,39.6,,US Embassy,51.128736,71.46939
2019-04-09,36.3,,US Embassy,51.128736,71.46939
2019-04-10,49.3,,US Embassy,51.128736,71.46939
2019-04-11,41.6,,US Embassy,51.128736,71.46939
2019-04-12,26.4,,US Embassy,51.128736,71.46939
2019-04-13,29.2,,US Embassy,51.128736,71.46939
2019-04-14,37.5,,US Embassy,51.128736,71.46939
2019-04-15,33.5,,US Embassy,51.128736,71.46939
2019-04-16,24.9,,US Embassy,51.128736,71.46939
2019-04-17,19.7,,US Embassy,51.128736,71.46939
2019-04-18,24.5,,US Embassy,51.128736,71.46939
2019-04-19,29.7,,US Embassy,51.128736,71.46939
2019-04-20,31.1,,US Embassy,51.128736,71.46939
2019-04-21,30.2,,US Embassy,51.128736,71.46939
2019-04-22,38.3,,US Embassy,51.128736,71.46939
2019-04-23,40.8,,US Embassy,51.128736,71.46939
2019-04-24,6.0,,US Embassy,51.128736,71.46939
2019-04-25,5.8,,US Embassy,51.128736,71.46939
2019-04-26,7.2,,US Embassy,51.128736,71.46939
2019-04-27,7.2,,US Embassy,51.128736,71.46939
2019-04-28,6.2,,US Embassy,51.128736,71.46939
2019-04-29,5.8,,US Embassy,51.128736,71.46939
2019-04-30,7.0,,US Embassy,51.128736,71.46939
2019-05-01,8.2,,US Embassy,51.128736,71.46939
2019-05-02,8.6,,US Embassy,51.128736,71.46939
2019-05-03,20.7,,US Embassy,51.128736,71.46939
2019-05-04,28.7,,US Embassy,51.128736,71.46939
2019-05-05,16.4,,US Embassy,51.128736,71.46939
2019-05-06,34.4,,US Embassy,51.128736,71.46939
2019-05-07,40.4,,US Embassy,51.128736,71.46939
2019-05-08,31.6,,US Embassy,51.128736,71.46939
2019-05-09,26.8,,US Embassy,51.128736,71.46939
2019-05-10,18.3,,US Embassy,51.128736,71.46939
2019-05-11,10.8,,US Embassy,51.128736,71.46939
2019-05-12,22.1,,US Embassy,51.128736,71.46939
2019-05-13,12.0,,US Embassy,51.128736,71.46939
2019-05-14,13.1,,US Embassy,51.128736,71.46939
2019-05-15,7.9,,US Embassy,51.128736,71.46939
2019-05-16,12.1,,US Embassy,51.128736,71.46939
2019-05-17,9.4,,US Embassy,51.128736,71.46939
2019-05-18,8.6,,US Embassy,51.128736,71.46939
2019-05-19,6.7,,US Embassy,51.128736,71.46939
2019-05-20,8.4,,US Embassy,51.128736,71.46939
2019-05-21,5.5,,US Embassy,51.128736,71.46939
2019-05-22,8.6,,US Embassy,51.128736,71.46939
2019-05-23,8.4,,US Embassy,51.128736,71.46939
2019-05-24,7.2,,US Embassy,51.128736,71.46939
2019-05-25,7.2,,US Embassy,51.128736,71.46939
2019-05-26,8.4,,US Embassy,51.128736,71.46939
2019-05-27,18.8,,US Embassy,51.128736,71.46939
2019-05-28,8.6,,US Embassy,51.128736,71.46939
2019-05-29,20.2,,US Embassy,51.128736,71.46939
2019-05-30,17.8,,US Embassy,51.128736,71.46939
2019-05-31,11.5,,US Embassy,51.128736,71.46939
2019-06-01,12.0,,US Embassy,51.128736,71.46939
2019-06-02,9.6,,US Embassy,51.128736,71.46939
2019-06-03,8.2,,US Embassy,51.128736,71.46939
2019-06-04,5.3,,US Embassy,51.128736,71.46939
2019-06-05,5.8,,US Embassy,51.128736,71.46939
2019-06-06,5.5,,US Embassy,51.128736,71.46939
2019-06-07,6.2,,US Embassy,51.128736,71.46939
2019-06-08,7.2,,US Embassy,51.128736,71.46939
2019-06-09,12.1,,US Embassy,51.128736,71.46939
2019-06-10,7.2,,US Embassy,51.128736,71.46939
2019-06-11,7.4,,US Embassy,51.128736,71.46939
2019-06-12,7.9,,US Embassy,51.128736,71.46939
2019-06-13,7.0,,US Embassy,51.128736,71.46939
2019-06-14,6.5,,US Embassy,51.128736,71.46939
2019-06-15,8.2,,US Embassy,51.128736,71.46939
2019-06-16,3.6,,US Embassy,51.128736,71.46939
2019-06-17,3.8,,US Embassy,51.128736,71.46939
2019-06-18,3.6,,US Embassy,51.128736,71.46939
2019-06-19,7.7,,US Embassy,51.128736,71.46939
2019-06-20,7.7,,US Embassy,51.128736,71.46939
2019-06-21,7.2,,US Embassy,51.128736,71.46939
2019-06-22,12.1,,US Embassy,51.128736,71.46939
2019-06-23,5.3,,US Embassy,51.128736,71.46939
2019-06-24,7.4,,US Embassy,51.128736,71.46939
2019-06-25,14.0,,US Embassy,51.128736,71.46939
2019-06-26,9.1,,US Embassy,51.128736,71.46939
2019-06-27,7.9,,US Embassy,51.128736,71.46939
2019-06-28,4.3,,US Embassy,51.128736,71.46939
2019-06-29,4.8,,US Embassy,51.128736,71.46939
2019-06-30,7.9,,US Embassy,51.128736,71.46939
2019-07-01,5.8,,US Embassy,51.128736,71.46939
2019-07-02,5.8,,US Embassy,51.128736,71.46939
2019-07-03,4.6,,US Embassy,51.128736,71.46939
2019-07-04,4.6,,US Embassy,51.128736,71.46939
2019-07-05,6.2,,US Embassy,51.128736,71.46939
2019-07-06,7.7,,US Embassy,51.128736,71.46939
